Paragraph_ID,EN_Text,CN_Original,CN_Revised,Reason,Glossary_Source
29,N/A (Chinese Line),3.  Secured creditors： Secured creditors have issued loans that are secured with collateral， bonds， and so on。 （有担保债权人：已发放由抵押品、债券等担保的贷款的债权人。）,3.  Secured creditors： Secured creditors have issued loans that are secured with collateral， bonds， and so on。 （有担保债权人：已发放由抵押品、债券等担保的贷款的债权人。）,Term 'SEC' found but '证券交易委员会' missing,术语对照表.md
30,N/A (Chinese Line),4.  General creditors： General creditors have issued unsecured loans， which aren't secured with collateral （bank loans， accounts payable， debentures， and so on）。 （一般债权人：已发放无担保贷款的债权人，这些贷款没有抵押品担保，如银行贷款、应付账款、无抵押信用债券等。）,4.  General creditors： General creditors have issued unsecured loans， which aren't secured with collateral （bank loans， accounts payable， debentures， and so on）。 （一般债权人：已发放无担保贷款的债权人，这些贷款没有抵押品担保，如银行贷款、应付账款、无抵押信用债券等。）,Term 'SEC' found but '证券交易委员会' missing,术语对照表.md
31,N/A (Chinese Line),5.  Subordinated debentures： Subordinated debentures are junior unsecured bonds； holders of subordinated debentures are the last creditors to be paid in the event of corporate bankruptcy。 （次级信用债券：次级信用债券是次等无担保债券；在公司破产的情况下，次级信用债券持有者是最后获得赔付的债权人。）,5.  Subordinated debentures： Subordinated debentures are junior unsecured bonds； holders of subordinated debentures are the last creditors to be paid in the event of corporate bankruptcy。 （次级信用债券：次级信用债券是次等无担保债券；在公司破产的情况下，次级信用债券持有者是最后获得赔付的债权人。）,Term 'Debentures' found but '无抵押信用债券' missing; Term 'SEC' found but '证券交易委员会' missing,术语对照表.md
38,N/A (Chinese Line),普通股和优先股股东将在债权人之后获得赔付（如果还有剩余资金的话）。普通股股东拥有所谓的**剩余索赔权 （residual rights）**，这意味着在公司破产的情况下，他们是最后获得赔付的。相对于普通股，债券和优先股被认为是**高级证券 （senior securities）**。,普通股和优先股股东将在债权人之后获得赔付（如果还有剩余资金的话）。普通股股东拥有所谓的**剩余索赔权 （residual rights）**，这意味着在公司破产的情况下，他们是最后获得赔付的。相对于普通股，债券和优先股被认为是**高级证券 （senior securities）**。,Term 'Rights' found but '配股权' missing; Term 'SEC' found but '证券交易委员会' missing,术语对照表.md
52,N/A (Chinese Line),由于让所有股东都参加年度公司会议进行投票会很困难，股东通常通过**代理投票 （proxy）** 进行投票——换句话说，就是缺席投票。（见本章后面的“代理人：邮寄投票”。）,由于让所有股东都参加年度公司会议进行投票会很困难，股东通常通过**代理投票 （proxy）** 进行投票——换句话说，就是缺席投票。（见本章后面的“代理人：邮寄投票”。）,Term 'Proxy' found but '代理权 / 委托书' missing,术语对照表.md
102,N/A (Chinese Line),现在，假设您住在纽约市，而投票在洛杉矶进行。您该怎么办？好吧，除了横跨全国跑一趟之外，您还可以通过**代理投票 （proxy）**（基本上是缺席选票）进行投票。发行人会向您发送一份委托书，其中描述了待投票的事项。您可以勾选描述您投票意愿的方框，然后将委托书寄回。通过这样做，您是在授权（给予有限授权书）另一个人按照您的意愿进行投票。**过户代理人 （transfer agent）** 负责寄送委托书。,现在，假设您住在纽约市，而投票在洛杉矶进行。您该怎么办？好吧，除了横跨全国跑一趟之外，您还可以通过**代理投票 （proxy）**（基本上是缺席选票）进行投票。发行人会向您发送一份委托书，其中描述了待投票的事项。您可以勾选描述您投票意愿的方框，然后将委托书寄回。通过这样做，您是在授权（给予有限授权书）另一个人按照您的意愿进行投票。**过户代理人 （transfer agent）** 负责寄送委托书。,Term 'Proxy' found but '代理权 / 委托书' missing,术语对照表.md
105,N/A (Chinese Line),**代理权争夺 （proxy fight/battle）** 是一种不友好的事件，发生在一组公司股东决定共同投票以获得公司控制权时。这种情况通常发生在股东对公司的运营方式不满意时。通常，他们试图更换董事会成员或管理层人员。,**代理权争夺 （proxy fight/battle）** 是一种不友好的事件，发生在一组公司股东决定共同投票以获得公司控制权时。这种情况通常发生在股东对公司的运营方式不满意时。通常，他们试图更换董事会成员或管理层人员。,Term 'Proxy' found but '代理权 / 委托书' missing,术语对照表.md
118,N/A (Chinese Line),*   **已发行股份 （Issued shares）：** 已发行股份是发行人为筹集资金而实际向公众出售的那部分授权股份，包括原始股东持有的股份。从逻辑上讲，尚未向公众发行的那部分授权股份被称为**未发行股份 （unissued shares）**。未发行股份不享有已发行股份的权利和特权。根据 SEC 415 号规则，股份可以保持未发行状态长达两到三年（货架注册）。（有关此话题的更多信息见第 5 章。）,*   **已发行股份 （Issued shares）：** 已发行股份是发行人为筹集资金而实际向公众出售的那部分授权股份，包括原始股东持有的股份。从逻辑上讲，尚未向公众发行的那部分授权股份被称为**未发行股份 （unissued shares）**。未发行股份不享有已发行股份的权利和特权。根据 SEC 415 号规则，股份可以保持未发行状态长达两到三年（货架注册）。（有关此话题的更多信息见第 5 章。）,Term 'SEC' found but '证券交易委员会' missing,术语对照表.md
120,N/A (Chinese Line),*   **流通股份 （Outstanding shares）：** 流通股份是投资者手中的股份数量。该数量可能与已发行股份的数量相同，也可能不同。有时，发行人可能出于多种原因决定在市场上回购其股票，包括为了帮助增加市场上交易股票的需求（和价格），或为了避免恶意收购（当另一家公司试图获得该发行人的控制权时）。发行人从流通股份中回购的股票被称为**库存股 （treasury stock）**。只有发行人才能拥有库存股；首席执行官或创始人拥有的股票被视为流通股的一部分。,*   **流通股份 （Outstanding shares）：** 流通股份是投资者手中的股份数量。该数量可能与已发行股份的数量相同，也可能不同。有时，发行人可能出于多种原因决定在市场上回购其股票，包括为了帮助增加市场上交易股票的需求（和价格），或为了避免恶意收购（当另一家公司试图获得该发行人的控制权时）。发行人从流通股份中回购的股票被称为**库存股 （treasury stock）**。只有发行人才能拥有库存股；首席执行官或创始人拥有的股票被视为流通股的一部分。,Term 'Outstanding Shares' found but '流通股数' missing,术语对照表.md
293,N/A (Chinese Line),现金股息是公司与股东分享利润的一种方式。当投资者收到现金股息时，该支出属于应税事件。公司不被强制要求支付股息，但股息为投资者持有增长缓慢的股票提供了良好的激励。虽然现金股息很诱人，但股票的市场价格会在**除息日 （ex-dividend date）**（股票在不含股息的情况下交易的第一天）下跌，以反映已宣布的支付日将支付的股息：,现金股息是公司与股东分享利润的一种方式。当投资者收到现金股息时，该支出属于应税事件。公司不被强制要求支付股息，但股息为投资者持有增长缓慢的股票提供了良好的激励。虽然现金股息很诱人，但股票的市场价格会在**除息日 （ex-dividend date）**（股票在不含股息的情况下交易的第一天）下跌，以反映已宣布的支付日将支付的股息：,Term 'Dividend' found but '股息 / 红利' missing,术语对照表.md
500,N/A (Chinese Line),在 SIE 考试中，配股权和认股权证都可能被称为**衍生证券 （derivative securities）**，因为它们的价值源自标的证券（发行人的普通股）的价值。,在 SIE 考试中，配股权和认股权证都可能被称为**衍生证券 （derivative securities）**，因为它们的价值源自标的证券（发行人的普通股）的价值。,Term 'SEC' found but '证券交易委员会' missing,术语对照表.md
