Paragraph_ID,EN_Text,CN_Original,CN_Revised,Reason,Glossary_Source
8,N/A (Chinese Line),在本章中，我将涵盖税收类别和规则，从区分税种到收入类型。虽然享受退休生活并不像“化作春泥更护花”那样必然，但我会解释山姆大叔对投资者投入 401(k)、个人退休账户 (IRAs) 以及其他退休计划的资金拥有怎样的征税权。,在本章中，我将涵盖税收类别和规则，从区分税种到收入类型。虽然享受退休生活并不像“化作春泥更护花”那样必然，但我会解释山姆大叔对投资者投入 401（k）、个人退休账户 （IRAs） 以及其他退休计划的资金拥有怎样的征税权。,Punctuation/Format,术语对照表.md
16,N/A (Chinese Line),美国国税局 (IRS) 喜欢将事物分类。,美国国税局 （IRS） 喜欢将事物分类。,Punctuation/Format,术语对照表.md
24,N/A (Chinese Line),"*   **Progressive taxes**: These taxes affect high-income individuals more than they affect low-income individuals; the more taxable income individuals have, the higher their income tax bracket. Includes personal income taxes, gift taxes, and estate taxes. (累进税：这类税对高收入者的影响大于对低收入者的影响；应纳税收入越多，税率档次就越高。包括个人所得税、赠与税和遗产税。)",*   **Progressive taxes**： These taxes affect high-income individuals more than they affect low-income individuals； the more taxable income individuals have， the higher their income tax bracket。 Includes personal income taxes， gift taxes， and estate taxes。 （累进税：这类税对高收入者的影响大于对低收入者的影响；应纳税收入越多，税率档次就越高。包括个人所得税、赠与税和遗产税。）,Punctuation/Format,术语对照表.md
25,N/A (Chinese Line),"*   **Regressive taxes**: These taxes affect individuals earning a lower income more than they affect people earning a higher income; everyone pays the same rate, so individuals who earn a lower income are affected more because that rate represents a higher percentage of their income. Includes payroll taxes, sales taxes, property taxes, and excise taxes. (累退税：这类税对低收入者的影响大于对高收入者的影响；每个人支付相同的税率，因此低收入者受影响更大，因为该税率占其总收入的百分比更高。包括工资税、销售税、财产税和消费税。)",*   **Regressive taxes**： These taxes affect individuals earning a lower income more than they affect people earning a higher income； everyone pays the same rate， so individuals who earn a lower income are affected more because that rate represents a higher percentage of their income。 Includes payroll taxes， sales taxes， property taxes， and excise taxes。 （累退税：这类税对低收入者的影响大于对高收入者的影响；每个人支付相同的税率，因此低收入者受影响更大，因为该税率占其总收入的百分比更高。包括工资税、销售税、财产税和消费税。）,Punctuation/Format,术语对照表.md
33,N/A (Chinese Line),"*   **Earned (active) income**: Income from activities that they’re actively involved in (salary, bonuses, tips, commissions, and so on). (劳动收入（主动收入）：来自积极参与的活动的收入（薪水、奖金、小费、佣金等）。)",*   **Earned （active） income**： Income from activities that they’re actively involved in （salary， bonuses， tips， commissions， and so on）。 （劳动收入（主动收入）：来自积极参与的活动的收入（薪水、奖金、小费、佣金等）。）,Punctuation/Format,术语对照表.md
34,N/A (Chinese Line),"*   **Passive income**: Income from enterprises in which an individual isn't actively involved (limited partnerships, rental property). (被动收入：来自个人并不积极参与经营的企业的收入（有限合伙、出租物业）。)",*   **Passive income**： Income from enterprises in which an individual isn't actively involved （limited partnerships， rental property）。 （被动收入：来自个人并不积极参与经营的企业的收入（有限合伙、出租物业）。）,Punctuation/Format,术语对照表.md
35,N/A (Chinese Line),"*   **Portfolio income**: Income from interest, dividends, and capital gains derived from the sale of securities. (组合投资收入：来自利息、股息以及出售证券所获得的资本利得。)",*   **Portfolio income**： Income from interest， dividends， and capital gains derived from the sale of securities。 （组合投资收入：来自利息、股息以及出售证券所获得的资本利得。）,Punctuation/Format,术语对照表.md
45,N/A (Chinese Line),"*   **Corporate bond interest**: Taxable at all levels (federal, state, and local). (公司债利息：在所有级别（联邦、州和地方）均需纳税。)",*   **Corporate bond interest**： Taxable at all levels （federal， state， and local）。 （公司债利息：在所有级别（联邦、州和地方）均需纳税。）,Punctuation/Format,术语对照表.md
46,N/A (Chinese Line),"*   **Municipal bond interest**: Federally tax-free; however, investors may be taxed on the state and local levels. (市政债利息：免除联邦税；然而，投资者可能需要在州和地方级别纳税。)",*   **Municipal bond interest**： Federally tax-free； however， investors may be taxed on the state and local levels。 （市政债利息：免除联邦税；然而，投资者可能需要在州和地方级别纳税。）,Punctuation/Format,术语对照表.md
47,N/A (Chinese Line),*   **U.S. government securities interest**: Taxable on the **federal level** but exempt from state and local taxes. (美国政府证券利息：在**联邦级别**纳税，但免除州和地方税。),*   **U。S。 government securities interest**： Taxable on the **federal level** but exempt from state and local taxes。 （美国政府证券利息：在**联邦级别**纳税，但免除州和地方税。）,Punctuation/Format,术语对照表.md
57,N/A (Chinese Line),"*   **Cash dividends**: Qualified cash dividends are taxed at a maximum rate of 0, 15, or 20 percent. To be **qualified**, the stock must be held for at least 61 days (91 days for preferred stock). (现金股息：合格现金股息的最高税率为 0%、15% 或 20%。要成为**合格**股息，股票必须持股至少 61 天（优先股为 91 天）。)",*   **Cash dividends**： Qualified cash dividends are taxed at a maximum rate of 0， 15， or 20 percent。 To be **qualified**， the stock must be held for at least 61 days （91 days for preferred stock）。 （现金股息：合格现金股息的最高税率为 0%、15% 或 20%。要成为**合格**股息，股票必须持股至少 61 天（优先股为 91 天）。）,Punctuation/Format,术语对照表.md
58,N/A (Chinese Line),"*   **Stock dividends**: These do **not** change the overall value of investment, so additional shares received are **not taxed**. However, they **lower the cost basis** per share. (股票股息：它们**不会**改变投资的总价值，因此收到的额外股份**不纳税**。但是，它们会**降低每股的成本基础**。)",*   **Stock dividends**： These do **not** change the overall value of investment， so additional shares received are **not taxed**。 However， they **lower the cost basis** per share。 （股票股息：它们**不会**改变投资的总价值，因此收到的额外股份**不纳税**。但是，它们会**降低每股的成本基础**。）,Punctuation/Format,术语对照表.md
65,N/A (Chinese Line),*   **Short-term capital gains**: Realized when a security is held for **one year or less**. Taxed according to the investor’s regular tax bracket. (短期资本利得：持股时间为**一年或以下**时实现。按投资者的常规税率档次征税。),*   **Short-term capital gains**： Realized when a security is held for **one year or less**。 Taxed according to the investor’s regular tax bracket。 （短期资本利得：持股时间为**一年或以下**时实现。按投资者的常规税率档次征税。）,Punctuation/Format,术语对照表.md
66,N/A (Chinese Line),"*   **Long-term capital gains**: Realized when a security is held for **more than one year**. Taxed at a maximum rate of 0, 15, or 20 percent. (长期资本利得：持股时间**超过一年**时实现。最高税率为 0%、15% 或 20%。)",*   **Long-term capital gains**： Realized when a security is held for **more than one year**。 Taxed at a maximum rate of 0， 15， or 20 percent。 （长期资本利得：持股时间**超过一年**时实现。最高税率为 0%、15% 或 20%。）,Punctuation/Format,术语对照表.md
87,N/A (Chinese Line),"正确答案是 (B)。Jones 拥有 20,000 美元的净资本损失（50,000 美元损失减去 30,000 美元收益）。Jones 用其中的 3,000 美元抵扣劳动收入，并将剩余的 17,000 美元损失结转。","正确答案是 （B）。Jones 拥有 20,000 美元的净资本损失（50,000 美元损失减去 30,000 美元收益）。Jones 用其中的 3,000 美元抵扣劳动收入，并将剩余的 17,000 美元损失结转。",Punctuation/Format,术语对照表.md
105,N/A (Chinese Line),*   **Tax-qualified plans**: Contributions are made from **pretax dollars** (tax-deductible). The entire withdrawal is taxed at retirement. (税务合格计划：使用**税前资金**缴款（可抵税）。退休提取时全额纳税。),*   **Tax-qualified plans**： Contributions are made from **pretax dollars** （tax-deductible）。 The entire withdrawal is taxed at retirement。 （税务合格计划：使用**税前资金**缴款（可抵税）。退休提取时全额纳税。）,Punctuation/Format,术语对照表.md
106,N/A (Chinese Line),*   **Nonqualified plans**: Deposits are **not tax-deductible** (made from after-tax dollars). Earnings grow tax-deferred. (非合格计划：缴款**不可抵税**（使用税后资金）。收益在税收递延的基础上增长。),*   **Nonqualified plans**： Deposits are **not tax-deductible** （made from after-tax dollars）。 Earnings grow tax-deferred。 （非合格计划：缴款**不可抵税**（使用税后资金）。收益在税收递延的基础上增长。）,Punctuation/Format,术语对照表.md
111,N/A (Chinese Line),"*   **Traditional IRAs**: Tax-qualified. Maximum contribution as of 2024 is **$7,000 per year** ($8,000 if age 50 or older). Withdrawals can't begin before age 59 1/2 without a 10% penalty. (传统 IRA：税务合格。截至 2024 年，最高缴款额为**每年 7,000 美元**（50 岁及以上为 8,000 美元）。在 59.5 岁之前提取会有 10% 的罚款。)","*   **Traditional IRAs**： Tax-qualified。 Maximum contribution as of 2024 is **$7,000 per year** （$8,000 if age 50 or older）。 Withdrawals can't begin before age 59 1/2 without a 10% penalty。 （传统 IRA：税务合格。截至 2024 年，最高缴款额为**每年 7,000 美元**（50 岁及以上为 8,000 美元）。在 59.5 岁之前提取会有 10% 的罚款。）",Punctuation/Format,术语对照表.md
