Paragraph_ID,EN_Text,CN_Original,CN_Revised,Reason,Glossary_Source
8,N/A (Chinese Line),在本章中，我将涵盖交易所和场外交易 (OTC) 市场的基本知识，以及一些帮助市场平稳运行（至少大部分时间是这样）的活跃参与者。请特别关注“回顾基本订单类型”和“考虑订单特征”这两节，因为在您通过 SIE 及相关进阶考试后，您每天都会用到这些信息。,在本章中，我将涵盖交易所和场外交易 （OTC） 市场的基本知识，以及一些帮助市场平稳运行（至少大部分时间是这样）的活跃参与者。请特别关注“回顾基本订单类型”和“考虑订单特征”这两节，因为在您通过 SIE 及相关进阶考试后，您每天都会用到这些信息。,Punctuation/Format,术语对照表.md
22,N/A (Chinese Line),**一级市场 (Primary market)**（新发行市场）是发行人获取证券销售收入的市场。从未向公众提供或出售过的证券被视为新发行证券。以下是一级市场的三种发行类型：,**一级市场 （Primary market）**（新发行市场）是发行人获取证券销售收入的市场。从未向公众提供或出售过的证券被视为新发行证券。以下是一级市场的三种发行类型：,Punctuation/Format,术语对照表.md
25,N/A (Chinese Line),*   **首次公开募股 (IPO)**：IPO 是公司第一次向公众出售股票以筹集资金。当公司第一次发行证券时，就被称为**上市 (going public)**。,*   **首次公开募股 （IPO）**：IPO 是公司第一次向公众出售股票以筹集资金。当公司第一次发行证券时，就被称为**上市 （going public）**。,Punctuation/Format,术语对照表.md
27,N/A (Chinese Line),*   **一级发行 (Primary offering)**：一级发行是发行人市场，即发行人通过出售股份来筹集资金。IPO 当然属于这一类。然而，公司通常会保留一部分股份供未来使用；之后再将这些证券从“储藏室”中取出，并在**后续**（增发、追加或随后的）发行中出售，这同样属于一级发行。,*   **一级发行 （Primary offering）**：一级发行是发行人市场，即发行人通过出售股份来筹集资金。IPO 当然属于这一类。然而，公司通常会保留一部分股份供未来使用；之后再将这些证券从“储藏室”中取出，并在**后续**（增发、追加或随后的）发行中出售，这同样属于一级发行。,Punctuation/Format,术语对照表.md
29,N/A (Chinese Line),*   **组合（混合）发行 (Combined/split offering)**：这种发行类型是新证券与大笔已流通（或之前已流通）证券的结合。,*   **组合（混合）发行 （Combined/split offering）**：这种发行类型是新证券与大笔已流通（或之前已流通）证券的结合。,Punctuation/Format,术语对照表.md
42,N/A (Chinese Line),"*   **First market**: Trading of **listed securities** on an exchange floor (e.g., NYSE). (第一市场：在交易所大厅交易的**上市证券**。)",*   **First market**： Trading of **listed securities** on an exchange floor （e。g。， NYSE）。 （第一市场：在交易所大厅交易的**上市证券**。）,Punctuation/Format,术语对照表.md
43,N/A (Chinese Line),*   **Second market**: Trading of **unlisted securities** over-the-counter (OTC). (第二市场：场外交易的**非上市证券**。),*   **Second market**： Trading of **unlisted securities** over-the-counter （OTC）。 （第二市场：场外交易的**非上市证券**。）,Punctuation/Format,术语对照表.md
44,N/A (Chinese Line),*   **Third market**: The trading of **exchange-listed securities** in the over-the-counter (OTC) market. (第三市场：在场外交易 (OTC) 市场交易的**交易所上市证券**。),*   **Third market**： The trading of **exchange-listed securities** in the over-the-counter （OTC） market。 （第三市场：在场外交易 （OTC） 市场交易的**交易所上市证券**。）,Punctuation/Format,术语对照表.md
45,N/A (Chinese Line),*   **Fourth market**: The trading of securities **between institutions** without the use of a brokerage firm. These trades are typically executed through **electronic communication networks (ECNs)** such as Instinet. (第四市场：**机构之间**不通过经纪公司而直接进行的证券交易。这些交易通常通过 Instinet 等**电子通信网络 (ECNs)** 执行。),*   **Fourth market**： The trading of securities **between institutions** without the use of a brokerage firm。 These trades are typically executed through **electronic communication networks （ECNs）** such as Instinet。 （第四市场：**机构之间**不通过经纪公司而直接进行的证券交易。这些交易通常通过 Instinet 等**电子通信网络 （ECNs）** 执行。）,Punctuation/Format,术语对照表.md
58,N/A (Chinese Line),证券公开发行后，可以在交易所或场外交易 (OTC) 市场进行交易。,证券公开发行后，可以在交易所或场外交易 （OTC） 市场进行交易。,Punctuation/Format,术语对照表.md
