Paragraph_ID,EN_Text,CN_Original,CN_Revised,Reason,Glossary_Source
19,N/A (Chinese Line),**美国证券交易委员会 (SEC)** 是证券行业的主要监管机构。国会成立了 SEC，旨在监管证券市场并保护投资者免受欺诈和操纵行为的侵害。所有与投资者进行交易的经纪交易商都必须向 SEC 注册。,**美国证券交易委员会 （SEC）** 是证券行业的主要监管机构。国会成立了 SEC，旨在监管证券市场并保护投资者免受欺诈和操纵行为的侵害。所有与投资者进行交易的经纪交易商都必须向 SEC 注册。,Punctuation/Format,术语对照表.md
24,N/A (Chinese Line),SEC 的调查可能会导致民事诉讼。SEC 可能会寻求**剥夺 (disgorgement)** 不当得利以及处以民事罚款。如果案件性质属于刑事案件，调查将由**美国检察官办公室**进行。,SEC 的调查可能会导致民事诉讼。SEC 可能会寻求**剥夺 （disgorgement）** 不当得利以及处以民事罚款。如果案件性质属于刑事案件，调查将由**美国检察官办公室**进行。,Punctuation/Format,术语对照表.md
30,N/A (Chinese Line),一些自律组织 (SROs) 的存在是为了减轻 SEC 的负担。SRO 的规则通常比 SEC 的**更严格**。,一些自律组织 （SROs） 的存在是为了减轻 SEC 的负担。SRO 的规则通常比 SEC 的**更严格**。,Punctuation/Format,术语对照表.md
32,N/A (Chinese Line),"*   **Financial Industry Regulatory Authority (FINRA)**: Responsible for the operation and regulation of the **OTC market**, investment banking, and NYSE trades. FINRA is responsible for administering securities exams such as the SIE. (**金融业监管局 (FINRA)**：负责**场外交易 (OTC) 市场**、投资银行业务和纽约证券交易所交易的运营和监管。FINRA 负责管理 SIE 等证券考试。)",*   **Financial Industry Regulatory Authority （FINRA）**： Responsible for the operation and regulation of the **OTC market**， investment banking， and NYSE trades。 FINRA is responsible for administering securities exams such as the SIE。 （**金融业监管局 （FINRA）**：负责**场外交易 （OTC） 市场**、投资银行业务和纽约证券交易所交易的运营和监管。FINRA 负责管理 SIE 等证券考试。）,Punctuation/Format,术语对照表.md
33,N/A (Chinese Line),*   **Municipal Securities Rulemaking Board (MSRB)**: Established to develop rules for firms that sell municipal securities. The MSRB **makes rules** but leaves **enforcement up to FINRA**. (**市政证券规则制定委员会 (MSRB)**：旨在为销售市政证券的公司制定规则。MSRB **制定规则**，但将**执行权交给 FINRA**。),*   **Municipal Securities Rulemaking Board （MSRB）**： Established to develop rules for firms that sell municipal securities。 The MSRB **makes rules** but leaves **enforcement up to FINRA**。 （**市政证券规则制定委员会 （MSRB）**：旨在为销售市政证券的公司制定规则。MSRB **制定规则**，但将**执行权交给 FINRA**。）,Punctuation/Format,术语对照表.md
34,N/A (Chinese Line),"*   **NYSE**: Responsible for listing securities, setting exchange policies, and supervising member firms. (**纽约证券交易所 (NYSE)**：负责证券上市、设定交易所政策以及监督会员公司。)",*   **NYSE**： Responsible for listing securities， setting exchange policies， and supervising member firms。 （**纽约证券交易所 （NYSE）**：负责证券上市、设定交易所政策以及监督会员公司。）,Punctuation/Format,术语对照表.md
35,N/A (Chinese Line),*   **Chicago Board Options Exchange (CBOE)**: Makes and enforces **options exchange rules**. (**芝加哥期权交易所 (CBOE)**：制定并执行**期权交易所规则**。),*   **Chicago Board Options Exchange （CBOE）**： Makes and enforces **options exchange rules**。 （**芝加哥期权交易所 （CBOE）**：制定并执行**期权交易所规则**。）,Punctuation/Format,术语对照表.md
61,N/A (Chinese Line),如果在过去**十年内**曾受到**重罪刑事指控**或某些特定的轻罪指控（涉及金钱或证券），该人员将被**法定取消资格 (statutorily disqualified)** 成员身份。,如果在过去**十年内**曾受到**重罪刑事指控**或某些特定的轻罪指控（涉及金钱或证券），该人员将被**法定取消资格 （statutorily disqualified）** 成员身份。,Punctuation/Format,术语对照表.md
68,N/A (Chinese Line),1.  **Firm element**: Member firms must have annual meetings covering the services and strategies offered. (公司部分：会员公司必须举行年度会议，涵盖所提供的服务和策略。),1。  **Firm element**： Member firms must have annual meetings covering the services and strategies offered。 （公司部分：会员公司必须举行年度会议，涵盖所提供的服务和策略。）,Punctuation/Format,术语对照表.md
69,N/A (Chinese Line),2.  **Regulatory element**: All registered persons must take a computer-based training session covering FINRA regulations. (**监管部分**：所有注册人员必须参加涵盖 FINRA 法规的计算机培训课程。),2。  **Regulatory element**： All registered persons must take a computer-based training session covering FINRA regulations。 （**监管部分**：所有注册人员必须参加涵盖 FINRA 法规的计算机培训课程。）,Punctuation/Format,术语对照表.md
