Paragraph_ID,EN_Text,CN_Original,CN_Revised,Reason,Glossary_Source
16,N/A (Chinese Line),与其他非豁免证券一样，投资公司必须向美国证券交易委员会 (SEC) 注册。在参加 SIE 考试时，您需要了解注册过程中的某些细节。向 SEC 注册时，投资公司必须披露：,与其他非豁免证券一样，投资公司必须向美国证券交易委员会 （SEC） 注册。在参加 SIE 考试时，您需要了解注册过程中的某些细节。向 SEC 注册时，投资公司必须披露：,Punctuation/Format,术语对照表.md
18,N/A (Chinese Line),*   Whether the investment company will be open- or closed-end (投资公司是开放式还是封闭式),*   Whether the investment company will be open- or closed-end （投资公司是开放式还是封闭式）,Punctuation/Format,术语对照表.md
19,N/A (Chinese Line),*   The names and addresses of affiliated people (关联人员的姓名和地址),*   The names and addresses of affiliated people （关联人员的姓名和地址）,Punctuation/Format,术语对照表.md
20,N/A (Chinese Line),*   Whether the company plans to raise money by borrowing (公司是否计划通过借款筹集资金),*   Whether the company plans to raise money by borrowing （公司是否计划通过借款筹集资金）,Punctuation/Format,术语对照表.md
21,N/A (Chinese Line),*   Whether they plan on investing in commodities or real estate (是否计划投资于大宗商品或房地产),*   Whether they plan on investing in commodities or real estate （是否计划投资于大宗商品或房地产）,Punctuation/Format,术语对照表.md
22,N/A (Chinese Line),"*   How they plan on investing (a single industry, many industries, debt securities, and so on) (计划如何投资（单一行业、多个行业、债务证券等）)",*   How they plan on investing （a single industry， many industries， debt securities， and so on） （计划如何投资（单一行业、多个行业、债务证券等））,Punctuation/Format,术语对照表.md
23,N/A (Chinese Line),"*   Conditions under which the investment plan can change (a vote of shareholders, for example) (投资计划变更的条件（例如股东投票）)",*   Conditions under which the investment plan can change （a vote of shareholders， for example） （投资计划变更的条件（例如股东投票））,Punctuation/Format,术语对照表.md
24,N/A (Chinese Line),*   The business experience of each director and officer (每位董事和高级职员的业务经验),*   The business experience of each director and officer （每位董事和高级职员的业务经验）,Punctuation/Format,术语对照表.md
37,N/A (Chinese Line),*   The management company can't own more than 10 percent of the outstanding shares of a company. (管理型公司持有的某公司流通股比例不得超过 10%。),*   The management company can't own more than 10 percent of the outstanding shares of a company. （管理型公司持有的某公司流通股比例不得超过 10%。）,Punctuation/Format,术语对照表.md
38,N/A (Chinese Line),"*   No more than 5 percent of the management company's money can be invested in one company's securities. However, through appreciation, one company may grow to more than 5 percent, which is fine, but the fund may not purchase any more of that company's securities unless it drops below 5 percent. (投资于任何一家公司的资金比例不得超过管理型公司总资产的 5%。然而，如果由于资产增值，某家公司的比例增长超过了 5%，这是允许的，但除非该比例降至 5% 以下，否则基金不得再购买该公司的证券。)",*   No more than 5 percent of the management company's money can be invested in one company's securities. However， through appreciation， one company may grow to more than 5 percent， which is fine， but the fund may not purchase any more of that company's securities unless it drops below 5 percent. （投资于任何一家公司的资金比例不得超过管理型公司总资产的 5%。然而，如果由于资产增值，某家公司的比例增长超过了 5%，这是允许的，但除非该比例降至 5% 以下，否则基金不得再购买该公司的证券。）,Punctuation/Format,术语对照表.md
60,N/A (Chinese Line),*   **资产净值 (NAV)：** 幸运的是，开放式和封闭式基金的 NAV（即每股资产净值）的确定方法是相同的：将基金持有的证券价值除以流通股数。然而，对于开放式基金，NAV 是**买入价 (bid price)**。当投资者赎回共同基金股份时，他们收到的是下一次计算出的 NAV（通常是在当天收盘时）。这也被称为**赎回价值**。共同基金的交易价格绝不会低于 NAV。,*   **资产净值 （NAV）：** 幸运的是，开放式和封闭式基金的 NAV（即每股资产净值）的确定方法是相同的：将基金持有的证券价值除以流通股数。然而，对于开放式基金，NAV 是**买入价 （bid price）**。当投资者赎回共同基金股份时，他们收到的是下一次计算出的 NAV（通常是在当天收盘时）。这也被称为**赎回价值**。共同基金的交易价格绝不会低于 NAV。,Punctuation/Format,术语对照表.md
62,N/A (Chinese Line),*   **公开发售价 (POP)：** 对于共同基金，公开发售价（即**卖出价/发售价 ask price**）是 NAV 加上销售费用。如果共同基金不收取销售费用，则被称为**无销售费基金 (no-load fund)**。,*   **公开发售价 （POP）：** 对于共同基金，公开发售价（即**卖出价/发售价 ask price**）是 NAV 加上销售费用。如果共同基金不收取销售费用，则被称为**无销售费基金 （no-load fund）**。,Punctuation/Format,术语对照表.md
87,N/A (Chinese Line),*   **公开发售价 (POP)：** 对于封闭式基金，在首次公开募股 (IPO) 之后，公开发售价（卖出价）不仅取决于 NAV，还取决于该发行的供求关系。封闭式基金的投资者在代理交易中支付 POP（当前市场价格）加上经纪商佣金。,*   **公开发售价 （POP）：** 对于封闭式基金，在首次公开募股 （IPO） 之后，公开发售价（卖出价）不仅取决于 NAV，还取决于该发行的供求关系。封闭式基金的投资者在代理交易中支付 POP（当前市场价格）加上经纪商佣金。,Punctuation/Format,术语对照表.md
90,N/A (Chinese Line),注：虽然封闭式基金不是从发行人处购买或向其赎回的，但基于其股份数量，大多数基金提供了高度的流动性。在首次发行后，它们可以在交易所（称为交易所交易基金或 ETFs）或场外交易市场 (OTC) 购买或出售。,注：虽然封闭式基金不是从发行人处购买或向其赎回的，但基于其股份数量，大多数基金提供了高度的流动性。在首次发行后，它们可以在交易所（称为交易所交易基金或 ETFs）或场外交易市场 （OTC） 购买或出售。,Punctuation/Format,术语对照表.md
