Paragraph_ID,EN_Text,CN_Original,CN_Revised,Reason,Glossary_Source
28,N/A (Chinese Line),**系统性风险 (Systematic risk)**（也称为不可分散风险或市场风险）是指由于政治、社会或经济因素——如经济变动、自然灾害、政府政策等——导致证券价格下跌的风险。系统性风险是可能影响**整个市场**的风险。系统性风险包括：,**系统性风险 （Systematic risk）**（也称为不可分散风险或市场风险）是指由于政治、社会或经济因素——如经济变动、自然灾害、政府政策等——导致证券价格下跌的风险。系统性风险是可能影响**整个市场**的风险。系统性风险包括：,Punctuation/Format,术语对照表.md
30,N/A (Chinese Line),*   **Market risk**: The risk of a security or securities declining due to regular market fluctuations or negative market conditions. **All securities have market risk.** (市场风险：由于常规市场波动或负面市场状况导致证券下跌的风险。**所有证券都具有市场风险。**),*   **Market risk**： The risk of a security or securities declining due to regular market fluctuations or negative market conditions。 **All securities have market risk。** （市场风险：由于常规市场波动或负面市场状况导致证券下跌的风险。**所有证券都具有市场风险。**）,Punctuation/Format,术语对照表.md
31,N/A (Chinese Line),"*   **Interest rate risk**: The risk of bond prices declining with increasing interest rates. (Use the idea behind the seesaw from Chapter 7: When interest rates increase, outstanding bond prices decrease.) **All bonds, even zero-coupon bonds, are subject to interest risk.** (利率风险：随着利率上升，债券价格下跌的风险。（利用第 7 章中的“跷跷板”原理：当利率上升时，流通中的债券价格会下跌。）**所有债券，即使是零息债券，都受利率风险的影响。**)",*   **Interest rate risk**： The risk of bond prices declining with increasing interest rates。 （Use the idea behind the seesaw from Chapter 7： When interest rates increase， outstanding bond prices decrease。） **All bonds， even zero-coupon bonds， are subject to interest risk。** （利率风险：随着利率上升，债券价格下跌的风险。（利用第 7 章中的“跷跷板”原理：当利率上升时，流通中的债券价格会下跌。）**所有债券，即使是零息债券，都受利率风险的影响。**）,Punctuation/Format,术语对照表.md
32,N/A (Chinese Line),*   **Reinvestment risk**: The risk that interest and dividends received will have to be reinvested at a lower rate of return. (再投资风险：收到的利息和股息必须以较低的回报率进行再投资的风险。),*   **Reinvestment risk**： The risk that interest and dividends received will have to be reinvested at a lower rate of return。 （再投资风险：收到的利息和股息必须以较低的回报率进行再投资的风险。）,Punctuation/Format,术语对照表.md
33,N/A (Chinese Line),"*   **Purchasing power (inflation or inflationary) risk**: The risk that the return on the investment is less than the inflation rate. Long-term bonds (even Treasury bonds) and fixed annuities have high inflation risk. **To avoid inflation risk, investors should buy stocks and variable annuities.** (购买力风险 / 通胀风险：投资回报率低于通货膨胀率的风险。长期债券（甚至是国债）和固定年金具有较高的通胀风险。**为了规避通胀风险，投资者应购买股票和变动年金。**)",*   **Purchasing power （inflation or inflationary） risk**： The risk that the return on the investment is less than the inflation rate。 Long-term bonds （even Treasury bonds） and fixed annuities have high inflation risk。 **To avoid inflation risk， investors should buy stocks and variable annuities。** （购买力风险 / 通胀风险：投资回报率低于通货膨胀率的风险。长期债券（甚至是国债）和固定年金具有较高的通胀风险。**为了规避通胀风险，投资者应购买股票和变动年金。**）,Punctuation/Format,术语对照表.md
39,N/A (Chinese Line),**非系统性风险 (Nonsystematic risk)**（也称为非系统风险、独特风险或可分散风险）更多地针对特定的行业或公司。好消息是，这类风险可以**通过多样化来消除**。您可能听过“不要把鸡蛋放在同一个篮子里”这句话。投资也是同样的道理。,**非系统性风险 （Nonsystematic risk）**（也称为非系统风险、独特风险或可分散风险）更多地针对特定的行业或公司。好消息是，这类风险可以**通过多样化来消除**。您可能听过“不要把鸡蛋放在同一个篮子里”这句话。投资也是同样的道理。,Punctuation/Format,术语对照表.md
41,N/A (Chinese Line),*   **Business risk**: The risk of a corporation failing to perform up to expectations. (业务风险/经营风险：公司表现未能达到预期的风险。),*   **Business risk**： The risk of a corporation failing to perform up to expectations。 （业务风险/经营风险：公司表现未能达到预期的风险。）,Punctuation/Format,术语对照表.md
42,N/A (Chinese Line),*   **Political (geopolitical) risk**: The risk that the value of a security could suffer due to instability or political changes in a country. (政治/地缘政治风险：由于一个国家的动荡或政治变动导致证券价值受损的风险。),*   **Political （geopolitical） risk**： The risk that the value of a security could suffer due to instability or political changes in a country。 （政治/地缘政治风险：由于一个国家的动荡或政治变动导致证券价值受损的风险。）,Punctuation/Format,术语对照表.md
43,N/A (Chinese Line),*   **Default risk (Credit risk)**: The risk of default or that the principal and interest aren’t paid on time. (违约风险 / 信用风险：发生违约或本息未能按时支付的风险。),*   **Default risk （Credit risk）**： The risk of default or that the principal and interest aren’t paid on time。 （违约风险 / 信用风险：发生违约或本息未能按时支付的风险。）,Punctuation/Format,术语对照表.md
44,N/A (Chinese Line),"*   **Regulatory risk**: The risk that changes in the regulatory climate (rulings by the FDA, EPA, and so on) will have a detrimental affect on certain securities. (监管风险：监管环境的变化（如 FDA、EPA 等机构的裁决）对某些证券产生不利影响的风险。)",*   **Regulatory risk**： The risk that changes in the regulatory climate （rulings by the FDA， EPA， and so on） will have a detrimental affect on certain securities。 （监管风险：监管环境的变化（如 FDA、EPA 等机构的裁决）对某些证券产生不利影响的风险。）,Punctuation/Format,术语对照表.md
