Paragraph_ID,EN_Text,CN_Original,CN_Revised,Reason,Glossary_Source
2,N/A (Chinese Line),# 第 10 章：直接参与计划 (DPPs) 与房地产投资信托基金 (REITs),# 第 10 章：直接参与计划 （DPPs） 与房地产投资信托基金 （REITs）,Punctuation/Format,术语对照表.md
5,N/A (Chinese Line),直接参与计划 (DPPs) 可以筹集资金投资于房地产、石油和天然气、设备租赁等领域。这些业务更常被称为**有限合伙企业 (limited partnerships)**，在某种程度上与公司（股东所有的公司）类似。然而，有限合伙企业具有许多其他投资所不具备的特定税务优势（和劣势）。根据税法，有限合伙企业**不被直接征税**；其收入或亏损会**直接穿透 (passed through)** 给投资者。,直接参与计划 （DPPs） 可以筹集资金投资于房地产、石油和天然气、设备租赁等领域。这些业务更常被称为**有限合伙企业 （limited partnerships）**，在某种程度上与公司（股东所有的公司）类似。然而，有限合伙企业具有许多其他投资所不具备的特定税务优势（和劣势）。根据税法，有限合伙企业**不被直接征税**；其收入或亏损会**直接穿透 （passed through）** 给投资者。,Punctuation/Format,术语对照表.md
8,N/A (Chinese Line),DPP 曾因其对投资者的税务优惠而被誉为“**避税工具 (tax shelters)**”，但税法的变更已经取消了其中的许多优势。结果，DPP 在投资者中有些失宠（尽管在 SIE 考试出题者眼中并非如此）。,DPP 曾因其对投资者的税务优惠而被誉为“**避税工具 （tax shelters）**”，但税法的变更已经取消了其中的许多优势。结果，DPP 在投资者中有些失宠（尽管在 SIE 考试出题者眼中并非如此）。,Punctuation/Format,术语对照表.md
11,N/A (Chinese Line),在本章中，我将解释有限合伙人和普通合伙人之间的区别，以及合伙企业的类型、它们的特殊风险及潜在回报。这里的信息可以帮助您审视这些风险与回报，并确定 DPP 对投资者的适用性。我还将解释适用于合伙企业的两个不可避免的生活事实：文件的归档和税款的支付。最后，我将解释关于**房地产投资信托基金 (REITs)** 的细节和您需要了解的一些具体信息。与投资于证券池的共同基金不同，REITs 投资于房地产。如果您等不及了，它们将在本章末尾进行讨论。在最后，我将通过一个简短的章节测验来测试您的知识。,在本章中，我将解释有限合伙人和普通合伙人之间的区别，以及合伙企业的类型、它们的特殊风险及潜在回报。这里的信息可以帮助您审视这些风险与回报，并确定 DPP 对投资者的适用性。我还将解释适用于合伙企业的两个不可避免的生活事实：文件的归档和税款的支付。最后，我将解释关于**房地产投资信托基金 （REITs）** 的细节和您需要了解的一些具体信息。与投资于证券池的共同基金不同，REITs 投资于房地产。如果您等不及了，它们将在本章末尾进行讨论。在最后，我将通过一个简短的章节测验来测试您的知识。,Punctuation/Format,术语对照表.md
19,N/A (Chinese Line),正如股东是公司的所有者一样，有限（及普通）合伙人是直接参与计划的所有者。对于投资 DPP 的人来说，关键区别在于它们是**缺乏流动性 (illiquid)** 的，因此投资者可以预期其投资资金将被占用很长一段时间，尽管这样做可以获得税务优势。大多数 DPP（至少是您将被考查到的那些）是为房地产项目、石油和天然气项目或设备租赁而设立的。,正如股东是公司的所有者一样，有限（及普通）合伙人是直接参与计划的所有者。对于投资 DPP 的人来说，关键区别在于它们是**缺乏流动性 （illiquid）** 的，因此投资者可以预期其投资资金将被占用很长一段时间，尽管这样做可以获得税务优势。大多数 DPP（至少是您将被考查到的那些）是为房地产项目、石油和天然气项目或设备租赁而设立的。,Punctuation/Format,术语对照表.md
24,N/A (Chinese Line),美国国税局 (IRS) 决定一个企业是公司还是有限合伙企业。为了让有限合伙企业被视为有限合伙企业（并按此征税），它必须**避开以下至少两项**公司特征（通常是最后两项）：,美国国税局 （IRS） 决定一个企业是公司还是有限合伙企业。为了让有限合伙企业被视为有限合伙企业（并按此征税），它必须**避开以下至少两项**公司特征（通常是最后两项）：,Punctuation/Format,术语对照表.md
26,N/A (Chinese Line),*   **Having a centralized management:** Corporations have management in one place. The challenges of managing a limited partnership from several locations make this corporate trait quite difficult for a partnership to avoid. (具有集中管理：公司在同一个地方进行管理。从多个地点管理有限合伙企业的挑战使得合伙企业很难避开这一公司特性。),*   **Having a centralized management：** Corporations have management in one place. The challenges of managing a limited partnership from several locations make this corporate trait quite difficult for a partnership to avoid. （具有集中管理：公司在同一个地方进行管理。从多个地点管理有限合伙企业的挑战使得合伙企业很难避开这一公司特性。）,Punctuation/Format,术语对照表.md
27,N/A (Chinese Line),"*   **Providing limited liability:** Corporate shareholders have limited liability; well, so do limited partners. The liability of corporate shareholders is limited to the amount invested, and the liability of limited partners is limited to the amount invested plus a portion of any recourse loans taken out by the partnership (if any). Therefore, investors of a limited partnership would have limited liability unless a limited partner takes on an active role in the management decisions. If a limited partner takes on an active role in management, they could be considered a general partner and have unlimited liability. (提供有限责任：公司股东拥有有限责任；有限合伙人也是如此。公司股东的责任仅限于投资金额，有限合伙人的责任仅限于投资金额加上合伙企业所借任何追索权贷款的一部分（如果有）。因此，有限合伙企业的投资者将拥有有限责任，除非有限合伙人在管理决策中发挥主动作用。如果有限合伙人在管理中发挥主动作用，他们可能被视为普通合伙人并承担无限责任。)",*   **Providing limited liability：** Corporate shareholders have limited liability； well， so do limited partners. The liability of corporate shareholders is limited to the amount invested， and the liability of limited partners is limited to the amount invested plus a portion of any recourse loans taken out by the partnership （if any）。 Therefore， investors of a limited partnership would have limited liability unless a limited partner takes on an active role in the management decisions. If a limited partner takes on an active role in management， they could be considered a general partner and have unlimited liability. （提供有限责任：公司股东拥有有限责任；有限合伙人也是如此。公司股东的责任仅限于投资金额，有限合伙人的责任仅限于投资金额加上合伙企业所借任何追索权贷款的一部分（如果有）。因此，有限合伙企业的投资者将拥有有限责任，除非有限合伙人在管理决策中发挥主动作用。如果有限合伙人在管理中发挥主动作用，他们可能被视为普通合伙人并承担无限责任。）,Punctuation/Format,术语对照表.md
28,N/A (Chinese Line),"*   **Having perpetual (never-ending) life:** Unlike corporations, which hope to last forever, limited partnerships are set up for a **defined period of time**. Limited partnerships are dissolved at a predetermined time, such as when their goals are met or after a set number of years. (具有永久寿命：与希望永存的公司不同，有限合伙企业是为**固定的一段时间**设立的。有限合伙企业在预定时间解散，例如当其目标实现或在设定的年限之后。)",*   **Having perpetual （never-ending） life：** Unlike corporations， which hope to last forever， limited partnerships are set up for a **defined period of time**。 Limited partnerships are dissolved at a predetermined time， such as when their goals are met or after a set number of years. （具有永久寿命：与希望永存的公司不同，有限合伙企业是为**固定的一段时间**设立的。有限合伙企业在预定时间解散，例如当其目标实现或在设定的年限之后。）,Punctuation/Format,术语对照表.md
29,N/A (Chinese Line),"*   **Having free transferability of partnership interest:** DPPs are difficult to get into and out of. Unlike shares of stock, which can be freely bought and sold by anyone, limited partners not only have to pass the scrutiny of a registered rep, but also require the **approval of the general partner**. DPP investors (limited partners) must show that they have enough money to invest initially and have liquidity in other investments in the event that the partnership needs a loan. (具有合伙权益的自由转让性：DPP 很难进入和退出。与任何人都可以自由买卖的股票不同，有限合伙人不仅必须经过登记代表的审查，还需要得到**普通合伙人的批准**。DPP 投资者（有限合伙人）必须证明他们最初有足够的资金进行投资，并且在合伙企业需要贷款时在其他投资中拥有流动性。)",*   **Having free transferability of partnership interest：** DPPs are difficult to get into and out of. Unlike shares of stock， which can be freely bought and sold by anyone， limited partners not only have to pass the scrutiny of a registered rep， but also require the **approval of the general partner**。 DPP investors （limited partners） must show that they have enough money to invest initially and have liquidity in other investments in the event that the partnership needs a loan. （具有合伙权益的自由转让性：DPP 很难进入和退出。与任何人都可以自由买卖的股票不同，有限合伙人不仅必须经过登记代表的审查，还需要得到**普通合伙人的批准**。DPP 投资者（有限合伙人）必须证明他们最初有足够的资金进行投资，并且在合伙企业需要贷款时在其他投资中拥有流动性。）,Punctuation/Format,术语对照表.md
