Paragraph_ID,EN_Text,CN_Original,CN_Revised,Reason,Glossary_Source
22,N/A (Chinese Line),当您为客户开设任何新账户时，首先需要填写**新开户表 (new account form)**——这是一种用于汇集客户基本信息以满足合规要求的内部文件。获取这些信息是您的职责（或经纪交易商的职责）。,当您为客户开设任何新账户时，首先需要填写**新开户表 （new account form）**——这是一种用于汇集客户基本信息以满足合规要求的内部文件。获取这些信息是您的职责（或经纪交易商的职责）。,Punctuation/Format,术语对照表.md
28,N/A (Chinese Line),*   **姓名与地址**：拥有账户访问权的个人姓名和地址，以及一名 18 岁或以上的**获授权联系人/紧急联系人 (trusted contact person)**（特别是当开户人年满 65 岁或以上时）。（虽然获授权联系人不是强制性的，但极力推荐设置。）,*   **姓名与地址**：拥有账户访问权的个人姓名和地址，以及一名 18 岁或以上的**获授权联系人/紧急联系人 （trusted contact person）**（特别是当开户人年满 65 岁或以上时）。（虽然获授权联系人不是强制性的，但极力推荐设置。）,Punctuation/Format,术语对照表.md
58,N/A (Chinese Line),*   通过**客户识别程序 (CIPs)** **保留记录**用于识别客户身份的信息。金融机构利用 CIPs 验证希望进行金融交易的客户身份。,*   通过**客户识别程序 （CIPs）** **保留记录**用于识别客户身份的信息。金融机构利用 CIPs 验证希望进行金融交易的客户身份。,Punctuation/Format,术语对照表.md
65,N/A (Chinese Line),如果发生任何变化（如客户地址或婚姻状况），需要更新新开户表。此外，只有具有**法律行为能力**的个人才能开户——这意味着您必须密切关注投资者的年龄和/或精神、身体状况。金融业监管局 (FINRA) 针对老年人和/或有某种残疾的人士制定了额外的规则；这些关于“特定成年人的财务剥削”的规则将在第 16 章中介绍。,如果发生任何变化（如客户地址或婚姻状况），需要更新新开户表。此外，只有具有**法律行为能力**的个人才能开户——这意味着您必须密切关注投资者的年龄和/或精神、身体状况。金融业监管局 （FINRA） 针对老年人和/或有某种残疾的人士制定了额外的规则；这些关于“特定成年人的财务剥削”的规则将在第 16 章中介绍。,Punctuation/Format,术语对照表.md
70,N/A (Chinese Line),在填写新开户表的过程中，务必询问您的客户是否为**合格投资者 (accredited)**。（有关合格投资者的更多内容，请参阅第 14 章。）如果客户确实是合格投资者，他们可能比非合格的散户投资者具有更强的风险承受能力。,在填写新开户表的过程中，务必询问您的客户是否为**合格投资者 （accredited）**。（有关合格投资者的更多内容，请参阅第 14 章。）如果客户确实是合格投资者，他们可能比非合格的散户投资者具有更强的风险承受能力。,Punctuation/Format,术语对照表.md
80,N/A (Chinese Line),I. 客户 II. 客户配偶 III. 登记代表 IV. 主管,I。 客户 II。 客户配偶 III。 登记代表 IV。 主管,Punctuation/Format,术语对照表.md
81,N/A (Chinese Line),"(A) 仅 I 和 II (B) 仅 IV (C) 仅 I 和 IV (D) 仅 I, III 和 IV",（A） 仅 I 和 II （B） 仅 IV （C） 仅 I 和 IV （D） 仅 I， III 和 IV,Punctuation/Format,术语对照表.md
82,N/A (Chinese Line),正确答案是 (B)。在为客户开设新账户时，新开户表仅需要主管（经理）的签字。令人惊讶的是，只有在客户开设融资账户时，才需要客户在开户表上签字。此外，只有在开设联名账户时才需要配偶的签字。由于题目没有说明该账户是融资账户或联名账户，您不能假设它是。,正确答案是 （B）。在为客户开设新账户时，新开户表仅需要主管（经理）的签字。令人惊讶的是，只有在客户开设融资账户时，才需要客户在开户表上签字。此外，只有在开设联名账户时才需要配偶的签字。由于题目没有说明该账户是融资账户或联名账户，您不能假设它是。,Punctuation/Format,术语对照表.md
90,N/A (Chinese Line),您应该能够根据客户的开户表以及您与该人的交谈，收集到做出推荐所需的信息。**“了解您的客户 (KYC)”规则**是您的职责，这样您才能做出合适的推荐并有效地处理账户。,您应该能够根据客户的开户表以及您与该人的交谈，收集到做出推荐所需的信息。**“了解您的客户 （KYC）”规则**是您的职责，这样您才能做出合适的推荐并有效地处理账户。,Punctuation/Format,术语对照表.md
95,N/A (Chinese Line),基于客户的概况并在客户的财务能力范围内，您的推荐应该是**公平合理的**。基本上，不要向一位风险厌恶且资金有限的客户推荐购买 10 万美元的（极高风险）细价股。如果您的客户没有提供足够的信息让您做出恰当的推荐，您仍然可以接受**非受托订单 (unsolicited orders)**。,基于客户的概况并在客户的财务能力范围内，您的推荐应该是**公平合理的**。基本上，不要向一位风险厌恶且资金有限的客户推荐购买 10 万美元的（极高风险）细价股。如果您的客户没有提供足够的信息让您做出恰当的推荐，您仍然可以接受**非受托订单 （unsolicited orders）**。,Punctuation/Format,术语对照表.md
100,N/A (Chinese Line),*   **The customer's age** (客户年龄),*   **The customer's age** （客户年龄）,Punctuation/Format,术语对照表.md
101,N/A (Chinese Line),*   **Other investments** they might have (他们持有的其他投资),*   **Other investments** they might have （他们持有的其他投资）,Punctuation/Format,术语对照表.md
102,N/A (Chinese Line),*   **Financial situation and needs**: Are they buying a house soon or paying for one or more of their kids to go to college? (财务状况和需求：他们是否即将买房，或者正在供一个或多个孩子上大学？),*   **Financial situation and needs**： Are they buying a house soon or paying for one or more of their kids to go to college？ （财务状况和需求：他们是否即将买房，或者正在供一个或多个孩子上大学？）,Punctuation/Format,术语对照表.md
