Paragraph_ID,EN_Text,CN_Original,CN_Revised,Reason,Glossary_Source
22,"For an entity to become a corporation, the corpora...",一个实体要成为一家公司，创始人必须在其业务所在地（主州）提交一份名为“公司章程”（corporate charter/bylaws）的文件。公司章程中包括创始人的姓名、正在经营或计划经营的业务类型、营业地点、可以发行的股票数量（授权股数）等。如果一家公司想向公众出售证券，它必须向各州和美国证券交易委员会(SEC)进行注册。请继续阅读以了解注册流程是如何运作的。,一个实体要成为一家公司，创始人必须在其业务所在地（主州）提交一份名为“公司章程”（corporate charter/bylaws）的文件。公司章程中包括创始人的姓名、正在经营或计划经营的业务类型、营业地点、可以发行的股票数量（授权股数）等。如果一家公司想向公众出售证券，它必须向各州和美国证券交易委员会（SEC）进行注册。请继续阅读以了解注册流程是如何运作的。,Punctuation/Format/Terminology,术语对照表.md
36,**Securities Exchange Act of 1934:** The Act of 19...,**1934年证券交易法：** 1934年法案成立了SEC（美国证券交易委员会），旨在通过监管场外交易(OTC)市场和交易所（如纽约证券交易所，NYSE）来保护投资者。（第14章将为您介绍更多关于市场的内容。）此外，1934年法案还监管：,**1934年证券交易法：** 1934年法案成立了SEC（美国证券交易委员会），旨在通过监管场外交易（OTC）市场和交易所（如纽约证券交易所，NYSE）来保护投资者。（第14章将为您介绍更多关于市场的内容。）此外，1934年法案还监管：,Punctuation/Format/Terminology,术语对照表.md
87,The preceding information regarding the registrati...,上述关于注册说明书的信息被称为“A表(Schedule A)”，通常适用于发行新证券的公司。“B表(Schedule B)”适用于地方政府发行（通常是市政债券）。正如您可以想象的那样，地方政府发行证券时所需的信息是针对地方政府在其注册说明书中必须提供的内容。,上述关于注册说明书的信息被称为“A表（Schedule A）”，通常适用于发行新证券的公司。“B表（Schedule B）”适用于地方政府发行（通常是市政债券）。正如您可以想象的那样，地方政府发行证券时所需的信息是针对地方政府在其注册说明书中必须提供的内容。,Punctuation/Format/Terminology,术语对照表.md
90,Most of the information required is very similar; ...,所需的大部分信息都非常相似；事实上，您可以将“公司(company/corporation)”替换为“市(municipality)”。您需要知道借款政府或部门的名称、筹资用途、新证券发行后的有担保（长期）债务金额和无担保（短期）债务金额、发行人在过去20年内是否发生过债务违约、所有相关人员的姓名（即律师、承销商等）、支付给承销商的佣金、与承销商签订的协议副本、律师就发行的合法性及可能的免税性质出具的法律意见书等。,所需的大部分信息都非常相似；事实上，您可以将“公司（company/corporation）”替换为“市（municipality）”。您需要知道借款政府或部门的名称、筹资用途、新证券发行后的长期债务（Funded Debt）金额和短期债务（Unfunded Debt）金额、发行人在过去20年内是否发生过债务违约、所有相关人员的姓名（即律师、承销商等）、支付给承销商的佣金、与承销商签订的协议副本、律师就发行的合法性及可能的免税性质出具的法律意见书等。,Terminology Correction (Funded Debt),术语对照表.md
105,In the event that the registration statement must ...,如果注册说明书必须修改或需要额外信息，SEC会发出“缺陷函(deficiency letter)”，并停止注册过程，直到收到所需信息。如果SEC发现注册说明书具有误导性（因为发行人包含了关于重大事实的虚假陈述或遗漏了重大事实），它会发布“停止令(stop order)”（即缺陷函），中止注册说明书的效力。此时，发行人需要修改注册说明书并回答委员会提出的任何问题，以继续注册流程。,如果注册说明书必须修改或需要额外信息，SEC会发出“缺陷函（deficiency letter）”，并停止注册过程，直到收到所需信息。如果SEC发现注册说明书具有误导性（因为发行人包含了关于重大事实的虚假陈述或遗漏了重大事实），它会发布“停止令（stop order）”（即缺陷函），中止注册说明书的效力。此时，发行人需要修改注册说明书并回答委员会提出的任何问题，以继续注册流程。,Punctuation/Format/Terminology,术语对照表.md
111,Neither the SEC nor any self-regulatory organizati...,SEC或任何自律组织都不会“批准”发行。SEC只是“核准”其销售。此外，SEC也不负责确保注册说明书上包含的信息是完整、真实或准确的。事实上，声称SEC批准了某项发行或发行人是违法的（这被称为“不批准条款(No Approval Clause)”）。,SEC或任何自律组织都不会“批准”发行。SEC只是“核准”其销售。此外，SEC也不负责确保注册说明书上包含的信息是完整、真实或准确的。事实上，声称SEC批准了某项发行或发行人是违法的（这被称为“不批准条款（No Approval Clause）”）。,Punctuation/Format/Terminology,术语对照表.md
114,"During the cooling-off period, the underwriter(s) ...","在冷却期内，承销商可以从可能想要购买该发行证券的投资者那里获得“投资意向(indications of interest, IOI)”。代理人会努力从潜在的证券购买者那里获取投资意向。","在冷却期内，承销商可以从可能想要购买该发行证券的投资者那里获得“投资意向（indications of interest, IOI）”。代理人会努力从潜在的证券购买者那里获取投资意向。",Punctuation/Format/Terminology,术语对照表.md
129,Underwriters and selling group members use the pre...,承销商和销售小组成员使用“初步招股说明书(preliminary prospectus)”来获取潜在客户的投资意向。在冷却期内，初步招股说明书必须提供给所有对新发行感兴趣的客户。我将在本章后面的“获取发行和发行人的详情：招股说明书”中详细讨论该说明书必须包含的内容。,承销商和销售小组成员使用“初步招股说明书（preliminary prospectus）”来获取潜在客户的投资意向。在冷却期内，初步招股说明书必须提供给所有对新发行感兴趣的客户。我将在本章后面的“获取发行和发行人的详情：招股说明书”中详细讨论该说明书必须包含的内容。,Punctuation/Format/Terminology,术语对照表.md
158,* **Coordination:** This method involves registeri...,* **协调注册：** 这种方法涉及同时向SEC和各州进行注册。SEC通过通知所有计划销售证券的州，协助公司满足蓝天法的要求。这种类型的注册通常用于首次公开募股(IPO)。,* **协调注册：** 这种方法涉及同时向SEC和各州进行注册。SEC通过通知所有计划销售证券的州，协助公司满足蓝天法的要求。这种类型的注册通常用于首次公开募股（IPO）。,Punctuation/Format/Terminology,术语对照表.md
161,* **Qualification:** Companies use this registrati...,* **核准注册：** 对于豁免联邦(SEC)注册但需要通过州管理机构向该州注册的证券，公司会使用这种注册方法。,* **核准注册：** 对于豁免联邦（SEC）注册但需要通过州管理机构向该州注册的证券，公司会使用这种注册方法。,Punctuation/Format/Terminology,术语对照表.md
